0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:16:07 +0300] "GET /IntelligentInventory/resources/js/jquery.knob.js HTTP/1.1" 200 26222
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:16:07 +0300] "GET /IntelligentInventory/resources/js/jquery.sparkline.min.js HTTP/1.1" 200 43247
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:16:07 +0300] "GET /IntelligentInventory/resources/js/dashboard.js HTTP/1.1" 200 5635
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:16:07 +0300] "GET /IntelligentInventory/resources/js/app.min.js HTTP/1.1" 200 9694
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:16:07 +0300] "GET /IntelligentInventory/resources/js/demo.js HTTP/1.1" 200 17268
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:16:07 +0300] "GET /IntelligentInventory/resources/js/jquery-jvectormap-world-mill-en.js HTTP/1.1" 200 144313
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:17:18 +0300] "POST /IntelligentInventory/login HTTP/1.1" 200 10662
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:17:18 +0300] "GET /IntelligentInventory/resources/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:17:18 +0300] "GET /IntelligentInventory/resources/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:17:18 +0300] "GET /IntelligentInventory/resources/blue.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:17:18 +0300] "GET /IntelligentInventory/resources/js/icheck.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:17:18 +0300] "GET /IntelligentInventory/resources/_all-skins.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:17:18 +0300] "GET /IntelligentInventory/resources/js/jquery-jvectormap-world-mill-en.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:17:18 +0300] "GET /IntelligentInventory/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:17:18 +0300] "GET /IntelligentInventory/resources/jquery-jvectormap-1.2.2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:17:18 +0300] "GET /IntelligentInventory/resources/jQuery/jQuery-2.2.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:17:18 +0300] "GET /IntelligentInventory/resources/js/jquery-jvectormap-1.2.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:17:18 +0300] "GET /IntelligentInventory/resources/js/jquery.knob.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:17:18 +0300] "GET /IntelligentInventory/resources/js/app.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:17:18 +0300] "GET /IntelligentInventory/resources/js/fastclick.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:17:18 +0300] "GET /IntelligentInventory/resources/js/demo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:17:18 +0300] "GET /IntelligentInventory/resources/js/jquery.sparkline.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:17:18 +0300] "GET /IntelligentInventory/resources/js/dashboard.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:17:18 +0300] "GET /IntelligentInventory/resources/js/jquery.slimscroll.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:17:46 +0300] "GET /IntelligentInventory/welcome HTTP/1.1" 200 10662
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:17:46 +0300] "GET /IntelligentInventory/resources/js/fastclick.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:17:46 +0300] "GET /IntelligentInventory/resources/js/app.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:17:46 +0300] "GET /IntelligentInventory/resources/js/dashboard.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:17:46 +0300] "GET /IntelligentInventory/resources/js/demo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:21:44 +0300] "POST /IntelligentInventory/login HTTP/1.1" 200 17390
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:21:44 +0300] "GET /IntelligentInventory/resources/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:21:44 +0300] "GET /IntelligentInventory/resources/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:21:44 +0300] "GET /IntelligentInventory/resources/_all-skins.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:21:44 +0300] "GET /IntelligentInventory/resources/jquery-jvectormap-1.2.2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:21:44 +0300] "GET /IntelligentInventory/resources/jQuery/jQuery-2.2.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:21:44 +0300] "GET /IntelligentInventory/resources/js/icheck.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:21:44 +0300] "GET /IntelligentInventory/resources/blue.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:21:44 +0300] "GET /IntelligentInventory/resources/js/jquery-jvectormap-1.2.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:21:44 +0300] "GET /IntelligentInventory/resources/js/jquery.slimscroll.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:21:44 +0300] "GET /IntelligentInventory/resources/js/fastclick.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:21:44 +0300] "GET /IntelligentInventory/resources/js/jquery-jvectormap-world-mill-en.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:21:44 +0300] "GET /IntelligentInventory/resources/js/dashboard.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:21:44 +0300] "GET /IntelligentInventory/resources/js/demo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:21:44 +0300] "GET /IntelligentInventory/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:21:44 +0300] "GET /IntelligentInventory/resources/js/jquery.sparkline.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:21:44 +0300] "GET /IntelligentInventory/resources/js/jquery.knob.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:21:44 +0300] "GET /IntelligentInventory/resources/js/app.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:21:58 +0300] "GET /IntelligentInventory/welcome HTTP/1.1" 200 17390
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:22:34 +0300] "GET /IntelligentInventory/welcome HTTP/1.1" 200 17390
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:22:34 +0300] "GET /IntelligentInventory/resources/js/demo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:22:34 +0300] "GET /IntelligentInventory/resources/js/dashboard.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:22:34 +0300] "GET /IntelligentInventory/resources/js/app.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:32:37 +0300] "GET /IntelligentInventory/welcome HTTP/1.1" 200 17507
